trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,ndcg_50,precision_50,recall_50,f1_50,ndcg_100,precision_100,recall_100,f1_100,ndcg,precision,recall,f1,training_time
37,2025-07-29 15:03:01,4096,0.031581100918998344,8,100,5,64,64,0.01,0.005,0.005,0.01,0.0011241987392656514,0.005383287012232309,0.09911816471571445,0.036075945994501465,mlp,0.25000101939850605,0.5000007626768859,0.5035597366884089,0.4891624099080693,0.33068745570517366,0.5939826819625564,0.42484906526031974,0.6980666006050873,0.2775549255846917,1.0,0.43450957767262277,0.4891624099080693,0.33068745570517366,0.5939826819625564,0.42484906526031974,865.6687121391296
38,2025-07-29 15:12:23,4096,0.022893802923737383,1,100,20,32,16,0.005,0.005,0.005,0.01,0.0024919503386082163,0.002491341382372834,0.06156148429391348,0.020911615577638636,mlp,0.2502417406460437,0.5000556292917613,0.506759714832747,0.48907741256591564,0.33437278525868175,0.5993756033311943,0.4292695812939842,0.6951256202503959,0.2775549255846917,1.0,0.43450957767262277,0.48907741256591564,0.33437278525868175,0.5993756033311943,0.4292695812939842,562.030601978302
39,2025-07-29 15:26:51,4096,0.048127472214834724,2,50,15,64,64,0.01,0.005,0.005,0.01,0.008264634265232669,0.028773259134585647,0.00031179011526187404,0.0005112222484392887,mlp,0.24999989758809563,0.49999989488556784,0.5040288632974039,0.49278067330747566,0.3249893692416726,0.5833328380767031,0.4174222970154773,0.7068205628353792,0.2775549255846917,1.0,0.43450957767262277,0.49278067330747566,0.3249893692416726,0.5833328380767031,0.4174222970154773,867.5756170749664
40,2025-07-29 15:36:19,4096,0.035130555591990485,12,1,5,32,16,0.005,0.005,0.005,0.01,0.013292449778066453,0.010538632025610088,0.019524735685362428,0.0548673350108045,mlp,0.25049974286722965,0.5000217839246286,0.5006131821842221,0.4853491159694055,0.33525159461374915,0.6027578508324402,0.43086033224624787,0.690140668535926,0.2775549255846917,1.0,0.43450957767262277,0.4853491159694055,0.33525159461374915,0.6027578508324402,0.43086033224624787,568.4000179767609
41,2025-07-29 15:45:58,4096,0.03894682847862568,1,100,20,32,16,0.01,0.005,0.005,0.01,0.0004095671078230342,0.0054412127419316125,0.07858401298523847,0.046429318992493473,mlp,0.2663855051096335,0.4802434093857738,0.8064612864471294,0.8082384788254503,0.4723175053153792,0.8613123801609657,0.6100836808250945,0.8828909715078298,0.2775549255846917,1.0,0.43450957767262277,0.8082384788254503,0.4723175053153792,0.8613123801609657,0.6100836808250945,579.0229518413544
42,2025-07-29 15:59:36,4096,0.030717377176422315,1,0.01,20,64,16,0.01,0.005,0.005,0.01,0.036786385238902104,0.021123043657389092,0.03342722669559625,0.040705680417710124,mlp,0.2500014733512616,0.5000011761042357,0.4982699274820815,0.4781352947815114,0.32459248759744863,0.5818093859743627,0.41670469006593563,0.6933335937152135,0.2775549255846917,1.0,0.43450957767262277,0.4781352947815114,0.32459248759744863,0.5818093859743627,0.41670469006593563,817.3449931144714
43,2025-07-29 16:09:31,4096,0.04477263689986162,2,100,20,32,64,0.01,0.005,0.005,0.01,0.00015191116219367726,0.0020243826421802217,0.04388864517605642,0.02724752074766945,mlp,0.26312071404652315,0.46081142768822514,0.8014925674452479,0.7994900624759278,0.4726293408929837,0.8638825810293607,0.6109878231292869,0.8728554874064688,0.2775549255846917,1.0,0.43450957767262277,0.7994900624759278,0.4726293408929837,0.8638825810293607,0.6109878231292869,594.6774506568909
44,2025-07-29 16:20:10,4096,0.041293107684851824,8,50,15,32,16,0.005,0.005,0.005,0.01,0.00032969087895623624,0.007063116470767664,0.010937429718243824,0.011911174220133033,mlp,0.24881124829812845,0.488449672387481,0.8028804028006367,0.8089780567786908,0.4738625088589653,0.8636605486040109,0.6119615689321835,0.8819875543350914,0.2775549255846917,1.0,0.43450957767262277,0.8089780567786908,0.4738625088589653,0.8636605486040109,0.6119615689321835,639.2612280845642
45,2025-07-29 16:42:15,4096,0.041700975893347925,1,50,15,64,16,0.005,0.005,0.005,0.01,0.00025450789983989634,0.006422255788312291,0.010149138126110192,0.010768234374341719,logistic_regression,0.27721432967955956,0.4214206222868867,0.7528263115112858,0.7420945458173043,0.444153082919915,0.8096864553556008,0.5736375738147527,0.8425837426251995,0.2775549255846917,1.0,0.43450957767262277,0.7420945458173043,0.444153082919915,0.8096864553556008,0.5736375738147527,1324.862543106079
46,2025-07-29 16:51:34,4096,0.01746088916878276,8,100,5,32,16,0.01,0.005,0.005,0.01,0.0009011685223935563,0.04437186320354443,0.025400280188047575,0.03661921160714375,mlp,0.25000672842401395,0.5000050387855485,0.5158572392875768,0.5024735702857445,0.33543586109142454,0.6033058121542801,0.43115248927159133,0.7065330266244614,0.2775549255846917,1.0,0.43450957767262277,0.5024735702857445,0.33543586109142454,0.6033058121542801,0.43115248927159133,559.4688200950623
47,2025-07-29 17:01:40,4096,0.049980312652370545,12,5,20,32,64,0.005,0.005,0.005,0.01,0.0005689219505992936,0.004285435393864669,0.0008623278151504289,0.0658068679244127,logistic_regression,0.24997784643588303,0.49996818220359995,0.531758164512239,0.5200026129874458,0.34627923458540044,0.6237205364172752,0.4453227235765475,0.7137321861730973,0.2775549255846917,1.0,0.43450957767262277,0.5200026129874458,0.34627923458540044,0.6237205364172752,0.4453227235765475,605.4333910942078
48,2025-07-29 17:21:57,4096,0.034044137517444235,1,0.01,20,64,16,0.01,0.005,0.005,0.01,0.023207037878471455,0.0028096329788772144,0.012592168961337623,0.053234698733977716,mlp,0.2500011187094858,0.4999993267305902,0.4992196968519444,0.4870818760278153,0.32725726435152375,0.5893945244221446,0.42084386251884254,0.6988286335046809,0.2775549255846917,1.0,0.43450957767262277,0.4870818760278153,0.32725726435152375,0.5893945244221446,0.42084386251884254,1217.168205022812
49,2025-07-29 17:32:44,4096,0.026599530365822348,2,0.5,15,32,16,0.01,0.005,0.005,0.01,0.00015097808073060234,0.011549121420573802,0.06345246974980273,0.07365434232364582,logistic_regression,0.25556149484046137,0.45730495656206327,0.814614589961395,0.816025041120495,0.47776045357902197,0.8743019732168135,0.6178810963322087,0.8842078099729874,0.2775549255846917,1.0,0.43450957767262277,0.816025041120495,0.47776045357902197,0.8743019732168135,0.6178810963322087,646.6262850761414
50,2025-07-29 17:59:37,4096,0.026371733739336156,2,0.5,15,32,16,0.01,0.005,0.005,0.01,0.0001449104427085701,0.010398305570753604,0.06700070536889582,0.07616804133495764,logistic_regression,0.25565183737001473,0.45654379884607404,0.8153729178833611,0.8165728372389846,0.4782423812898653,0.8751243679666346,0.6184894994517565,0.8843180062134246,0.2775549255846917,1.0,0.43450957767262277,0.8165728372389846,0.4782423812898653,0.8751243679666346,0.6184894994517565,1613.2836396694183
51,2025-07-29 18:20:33,4096,0.023363408473343904,2,0.5,15,32,16,0.01,0.005,0.005,0.01,0.00021672694750308758,0.0003419676852766063,0.04172331842584295,0.07660729395617638,logistic_regression,0.25270911824907627,0.46328170185291145,0.8146327904014989,0.8165763025746529,0.47825655563430186,0.8750266073548669,0.6184769348604638,0.8843924868863511,0.2775549255846917,1.0,0.43450957767262277,0.8165763025746529,0.47825655563430186,0.8750266073548669,0.6184769348604638,1256.4436819553375
52,2025-07-29 18:34:47,4096,0.022602415296226076,2,0.5,15,32,16,0.01,0.005,0.005,0.01,0.0004839924058180692,0.00017404145727023843,0.005098864202245181,0.08332884377327103,logistic_regression,0.26034773990708493,0.4653058615177199,0.8070881888572911,0.8089750091562565,0.4744011339475549,0.8690009189365048,0.6137477912288468,0.8802363910245147,0.2775549255846917,1.0,0.43450957767262277,0.8089750091562565,0.4744011339475549,0.8690009189365048,0.6137477912288468,853.1756222248077
53,2025-07-29 18:51:11,4096,0.020514786210497748,2,0.5,15,32,16,0.01,0.005,0.005,0.01,0.00020414030302646826,0.00029874140556319066,0.03044223666654123,0.07725803087695847,logistic_regression,0.24812862542356914,0.4521073717402397,0.8134112950762178,0.813104477897118,0.4765556343019135,0.8713168179705459,0.6161279402451108,0.8827134804023354,0.2775549255846917,1.0,0.43450957767262277,0.813104477897118,0.4765556343019135,0.8713168179705459,0.6161279402451108,984.4305579662323
54,2025-07-29 19:10:10,4096,0.019890288233885865,2,0.5,15,32,16,0.01,0.005,0.005,0.01,0.00013556883122477868,0.00031344890071624917,0.007780989037376725,0.0947158327402593,logistic_regression,0.28494151473961105,0.42065221582148526,0.7388669278940208,0.7237571435839292,0.4389085754783841,0.8005757816734622,0.566977023742699,0.8289828939343805,0.2775549255846917,1.0,0.43450957767262277,0.7237571435839292,0.4389085754783841,0.8005757816734622,0.566977023742699,1138.5760488510132
55,2025-07-29 19:30:27,4096,0.02039504655260521,2,0.5,15,16,16,0.01,0.005,0.005,0.01,0.00019996389951995228,0.00021470298538759256,0.002840715864434739,0.07758064164353838,logistic_regression,0.28316584248727583,0.4204577268874188,0.7371081591736202,0.7208688771089392,0.4380864635010632,0.7989792768558448,0.5658907112041248,0.8269110132070585,0.2775549255846917,1.0,0.43450957767262277,0.7208688771089392,0.4380864635010632,0.7989792768558448,0.5658907112041248,1216.7901949882507
56,2025-07-29 19:45:28,4096,0.02459998815153146,2,0.5,15,32,64,0.01,0.005,0.005,0.01,0.00027451662815724604,0.0003632678299017655,0.027723250495705877,0.08373954348594138,logistic_regression,0.2596774556765866,0.47329607015895847,0.8108722956013662,0.8141462747435563,0.47638554216867474,0.8724032368309845,0.6162570380748108,0.883636459124073,0.2775549255846917,1.0,0.43450957767262277,0.8141462747435563,0.47638554216867474,0.8724032368309845,0.6162570380748108,901.1564340591431
