trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,grad_clip_norm,abc_model_name,mse,mae,auc,train_mse,train_mae,train_auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
20,2025-08-03 17:38:07,4096,0.010547589003531366,1,10,50,32,64,0.005,0.005,0.01,0.005,0.001,1e-05,0.0001,0.001,1.0,mlp,0.11399388917689192,0.31130484060432995,0.7790181077486925,0.15698630059947086,0.3566534032885464,0.8116928484440933,0.4920678034501989,0.08058114812189937,0.39698396612400183,0.13396884664312278,0.4920678034501989,0.08058114812189937,0.39698396612400183,0.13396884664312278,100.37335395812988
21,2025-08-03 17:39:47,4096,0.010891310093256388,1,10,50,32,64,0.005,0.005,0.01,0.005,0.001,1e-05,0.0001,0.001,1.0,mlp,0.11399680216968239,0.3113098938673388,0.7790083682468689,0.1569864867002398,0.3566537379610596,0.811691812696534,0.49195024374574875,0.08051027639971652,0.39676460126962637,0.13385840826079076,0.49195024374574875,0.08051027639971652,0.39676460126962637,0.13385840826079076,99.68339252471924
22,2025-08-03 17:41:17,4096,0.04956390269067064,1,10,50,32,64,0.005,0.005,0.01,0.005,0.001,1e-05,0.0001,0.001,1.0,mlp,0.14286576033563628,0.3612623992626091,0.7268221483587325,0.16716660053950796,0.3803759745790873,0.791375999922,0.4441787369513762,0.06187101346562722,0.3225243990884881,0.1038249197949932,0.4441787369513762,0.06187101346562722,0.3225243990884881,0.1038249197949932,90.68209266662598
23,2025-08-03 17:43:01,4096,0.03244422182610928,1,1,50,32,64,0.005,0.005,0.01,0.005,0.001,1e-05,0.0001,0.001,1.0,mlp,0.12518728192777517,0.33123573968822445,0.7556325479513044,0.1601312747181642,0.3643297357488726,0.8049938252540266,0.465258567857328,0.07147413182140326,0.36063247093374895,0.11930339690366978,0.465258567857328,0.07147413182140326,0.36063247093374895,0.11930339690366978,103.64795589447021
24,2025-08-03 17:44:24,4096,0.017419194694613192,12,0.01,5,64,64,0.005,0.005,0.01,0.005,0.001,0.001,0.0001,0.001,2.0,mlp,0.2500003281723015,0.5000003170200318,0.5075060345885158,0.24999051952365062,0.49999050401916456,0.7793520415072737,0.27783259344809735,0.05085046066619419,0.20840089926587674,0.08175294998410548,0.27783259344809735,0.05085046066619419,0.20840089926587674,0.08175294998410548,83.1510124206543
25,2025-08-03 17:45:46,4096,0.07853601406611617,2,10,50,16,16,0.005,0.005,0.01,0.005,1e-05,0.0001,0.01,0.01,0.5,mlp,0.1324150576861941,0.26294214795444915,0.7093373568796546,0.08766984011206823,0.20599506298827996,0.9405551596347004,0.4391597400179961,0.07423812898653437,0.3636187954216007,0.12330228223717686,0.4391597400179961,0.07423812898653437,0.3636187954216007,0.12330228223717686,81.92043471336365
26,2025-08-03 17:47:08,4096,0.04842932088464367,8,100,50,32,64,0.01,0.01,0.005,0.01,5e-05,5e-05,0.001,5e-05,1.0,logistic_regression,0.12877073176053078,0.32161648675872084,0.7248469591147452,0.06710414723328095,0.2262221559646596,0.9919716873739434,0.48122768038434305,0.07987243090007087,0.3639434873256497,0.13099598211420857,0.48122768038434305,0.07987243090007087,0.3639434873256497,0.13099598211420857,81.31985569000244
27,2025-08-03 17:48:50,4096,0.01984347154286482,4,100,50,32,64,0.005,0.005,0.01,0.005,0.01,0.0005,1e-05,0.0001,1.0,mlp,0.25000002374765834,0.5000000236468283,0.5115223556520034,0.24999969035183225,0.4999996901630147,0.6972929647787063,0.2848061973704191,0.05407512402551383,0.22436596634117836,0.08714674576963813,0.2848061973704191,0.05407512402551383,0.22436596634117836,0.08714674576963813,102.81675958633423
28,2025-08-03 17:50:24,4096,0.03612798723443489,6,10,50,32,64,0.005,0.005,0.01,0.005,0.0005,0.005,0.005,0.0005,1.0,mlp,0.231058512441984,0.4802389653498689,0.6615217674721986,0.2302791106196714,0.47890128593993764,0.7422345944267749,0.4202193496073275,0.05219702338766832,0.26671556158494997,0.08730767653524894,0.4202193496073275,0.05219702338766832,0.26671556158494997,0.08730767653524894,93.11252307891846
29,2025-08-03 17:51:31,4096,0.09230384791223425,1,0.01,50,32,64,0.01,0.005,0.01,0.01,0.005,0.01,5e-05,1e-05,1.0,mlp,0.2500000064248764,0.5000000064000445,0.5160870072611184,0.24999928568167587,0.49999928558572193,0.7542141762382851,0.2992603673281303,0.05864635010630758,0.24872262451960417,0.09491311954753617,0.2992603673281303,0.05864635010630758,0.24872262451960417,0.09491311954753617,67.28387570381165
30,2025-08-03 17:52:56,4096,0.016294351607870395,10,50,50,16,16,0.005,0.005,0.01,0.005,0.0005,0.005,0.0005,0.001,0.5,mlp,0.24999990019044516,0.4999999001867896,0.6182547042862382,0.24999980716612447,0.49999980716421455,0.7363551817569425,0.39319079367549375,0.059744861800141755,0.29073322378694666,0.09912069821292538,0.39319079367549375,0.059744861800141755,0.29073322378694666,0.09912069821292538,85.40400886535645
31,2025-08-03 17:54:41,4096,0.011147844459030963,1,10,50,32,64,0.005,0.005,0.01,0.005,0.001,1e-05,0.0001,0.001,1.0,mlp,0.11400182390342437,0.31131840510443487,0.778995554661547,0.15698704034102895,0.3566553116503746,0.8116904145940956,0.49194948908905606,0.08051027639971652,0.39676460126962637,0.13385840826079076,0.49194948908905606,0.08051027639971652,0.39676460126962637,0.13385840826079076,104.79714155197144
32,2025-08-03 17:56:30,4096,0.011177843806950923,1,100,5,64,64,0.01,0.01,0.01,0.005,0.001,1e-05,0.0001,0.005,2.0,logistic_regression,0.11288527240367525,0.3089951288604625,0.7840767506380528,0.15592258929539993,0.35445129118479074,0.8137066008441114,0.5011759794148845,0.0839475549255847,0.4049411415622957,0.13906567677730097,0.5011759794148845,0.0839475549255847,0.4049411415622957,0.13906567677730097,108.79041075706482
