trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,train_mse,train_mae,train_auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
11,2025-08-02 07:08:56,4096,0.01284519900953493,2,5,5,16,16,0.01,0.01,0.005,0.01,0.0005,0.001,0.001,5e-05,logistic_regression,0.13702051072916713,0.34957455349013244,0.7539175291569309,0.1539256947710675,0.3584969769797659,0.8269717692649943,0.48307999747631486,0.08072289156626507,0.3581658630668407,0.13175176543883793,0.48307999747631486,0.08072289156626507,0.3581658630668407,0.13175176543883793,51.617223024368286
12,2025-08-02 07:09:49,4096,0.013201993043002803,2,5,5,16,16,0.01,0.01,0.005,0.01,0.0005,0.001,0.001,5e-05,logistic_regression,0.13649673954620578,0.34878119583280554,0.7548338112363937,0.15389898381212191,0.3581782076211611,0.8263412154033566,0.4847103535690767,0.08086463501063076,0.36279752487702943,0.13225148360351385,0.4847103535690767,0.08086463501063076,0.36279752487702943,0.13225148360351385,53.15963959693909
13,2025-08-02 07:10:49,4096,0.013413141984359247,6,5,5,16,16,0.01,0.01,0.005,0.01,0.0001,0.001,0.001,0.0005,logistic_regression,0.13902295867490733,0.3480667383257789,0.7333551588615733,0.12180956784067015,0.31496792158067477,0.9168000473029307,0.4822760286417603,0.08058114812189937,0.36225628086302236,0.13183631335419715,0.4822760286417603,0.08058114812189937,0.36225628086302236,0.13183631335419715,59.52595520019531
14,2025-08-02 07:11:40,4096,0.03208979276024351,2,1,25,16,16,0.01,0.01,0.005,0.01,0.0005,0.001,0.001,5e-05,logistic_regression,0.13799103830818907,0.3511859601801698,0.75139650812486,0.1549773820839263,0.36023367752380847,0.8240407966552572,0.48055623221185023,0.08082919914953934,0.36191552964612156,0.13214541255251672,0.48055623221185023,0.08082919914953934,0.36191552964612156,0.13214541255251672,51.423346281051636
15,2025-08-02 07:12:33,4096,0.029735720916658697,2,50,5,16,16,0.01,0.01,0.005,0.01,0.0005,0.001,0.001,5e-05,logistic_regression,0.1341027783347382,0.3441216334339612,0.7561065096804547,0.1535668339687727,0.35606231673715766,0.8246231773457122,0.47970659326401277,0.07951807228915664,0.35932939032109645,0.13021918944327038,0.47970659326401277,0.07951807228915664,0.35932939032109645,0.13021918944327038,52.45648193359375
16,2025-08-02 07:13:25,4096,0.030955149350048082,2,50,30,16,16,0.01,0.01,0.005,0.01,0.0005,0.0001,0.001,0.0005,logistic_regression,0.13198656934426195,0.34022611844988077,0.759978122715654,0.15095637677156537,0.3517827321182611,0.831360322726137,0.488290753865645,0.08185683912119064,0.3683894467170403,0.13394978091921747,0.488290753865645,0.08185683912119064,0.3683894467170403,0.13394978091921747,52.36668038368225
17,2025-08-02 07:14:23,4096,0.032709135490288664,12,50,30,16,16,0.01,0.01,0.005,0.01,5e-05,0.0001,0.0001,0.0005,logistic_regression,0.14979173220751102,0.37360013745813014,0.7391895153613981,0.1597431212484043,0.37857809075549265,0.8577086482578272,0.45493136888688324,0.07002126151665486,0.3415615231471315,0.11621753692078846,0.45493136888688324,0.07002126151665486,0.3415615231471315,0.11621753692078846,57.60839128494263
18,2025-08-02 07:15:24,4096,0.040516525911377346,6,50,30,16,16,0.005,0.005,0.005,0.01,0.0001,0.0001,0.001,0.0005,logistic_regression,0.12913983765350867,0.3307461170514725,0.7472420306251442,0.13309236360144885,0.32375161677790654,0.8812326501614097,0.4756162658982578,0.07675407512402552,0.3506913430676598,0.12594351720990868,0.4756162658982578,0.07675407512402552,0.3506913430676598,0.12594351720990868,61.535038232803345
19,2025-08-02 07:16:16,4096,0.024606283356432473,4,50,30,16,16,0.01,0.01,0.005,0.01,0.0005,0.0005,0.001,0.005,logistic_regression,0.18494050407756374,0.4240924466539105,0.6892422612139283,0.19086521165122955,0.42542950645369215,0.7669886309230052,0.4196876161308382,0.05311835577604535,0.272468924997791,0.08890458657691097,0.4196876161308382,0.05311835577604535,0.272468924997791,0.08890458657691097,51.218209981918335
20,2025-08-02 07:17:06,4096,0.04114022331543087,2,50,25,16,16,0.01,0.01,0.005,0.01,0.0005,0.0001,0.001,0.0005,logistic_regression,0.13195426393068274,0.3401896733162942,0.7595523358239945,0.15067435676087476,0.35161370104380774,0.832835088719986,0.4863071552131833,0.08160878809355068,0.3645698071297142,0.13336408538588782,0.4863071552131833,0.08160878809355068,0.3645698071297142,0.13336408538588782,50.53748869895935
21,2025-08-02 07:18:00,4096,0.045980643949820384,2,50,25,16,16,0.01,0.01,0.005,0.01,0.0005,0.0001,0.001,0.0005,logistic_regression,0.13531445691044403,0.3464372516445393,0.7563061926976897,0.15455136215602966,0.358358942357764,0.8234240490072087,0.4825738887491301,0.08061658398299079,0.36262235205251037,0.13190797523261544,0.4825738887491301,0.08061658398299079,0.36262235205251037,0.13190797523261544,54.04024052619934
22,2025-08-02 07:18:55,4096,0.04752783851139812,2,50,25,16,16,0.01,0.01,0.005,0.01,0.0005,0.0001,0.001,0.0005,logistic_regression,0.137278629243941,0.3501056626467214,0.7531761895300054,0.1562283684892897,0.361693058809929,0.8201066911128224,0.4791768884156849,0.07983699503897945,0.3552088188474242,0.13037157836222016,0.4791768884156849,0.07983699503897945,0.3552088188474242,0.13037157836222016,54.25081968307495
23,2025-08-02 07:19:53,4096,0.0505198092735105,2,50,25,16,16,0.01,0.01,0.005,0.01,0.0005,0.0001,0.001,0.0005,logistic_regression,0.14106991435227426,0.3567347737179828,0.7497715553310127,0.15899731338175233,0.3675102979852088,0.8155942207932159,0.47811706440469864,0.07895109851169384,0.3562682356357122,0.129257899920116,0.47811706440469864,0.07895109851169384,0.3562682356357122,0.129257899920116,58.32241654396057
24,2025-08-02 07:20:44,4096,0.04001673672829359,2,50,25,16,16,0.01,0.01,0.005,0.01,0.0005,0.0001,0.001,0.0005,logistic_regression,0.13156689008604186,0.33962852925213083,0.7598492566708138,0.15064174376836031,0.3513369467399712,0.8323651333177748,0.48527003179644784,0.0820694542877392,0.36919237869360616,0.13428752370391206,0.48527003179644784,0.0820694542877392,0.36919237869360616,0.13428752370391206,51.40609264373779
25,2025-08-02 07:21:39,4096,0.037559881469682754,2,0.01,25,16,16,0.01,0.01,0.005,0.01,0.0005,0.0001,5e-05,0.0005,logistic_regression,0.12881055434137065,0.3366407527431114,0.7403168421777859,0.16168206729183568,0.3663376193014932,0.7980234502804419,0.4435569584159855,0.06279234585400426,0.33454148621004687,0.10573801176451313,0.4435569584159855,0.06279234585400426,0.33454148621004687,0.10573801176451313,55.123249769210815
26,2025-08-02 07:22:52,4096,0.023462648462041734,2,10,40,16,32,0.005,0.005,0.005,0.005,5e-05,0.0001,0.01,0.0005,logistic_regression,0.13505809543725852,0.2629640576832749,0.6825104798526334,0.02856510677552895,0.1154495088964457,0.9979682450315136,0.4612242635035311,0.07710843373493977,0.36934669024449684,0.12758166839294185,0.4612242635035311,0.07710843373493977,0.36934669024449684,0.12758166839294185,72.58231401443481
27,2025-08-02 07:23:41,4096,0.04000259523659515,4,100,30,16,16,0.01,0.01,0.005,0.01,0.005,0.0001,0.0001,0.0005,logistic_regression,0.24999999986462199,0.49999999986461935,0.49965400609481886,0.24999999546002177,0.499999995459972,0.5067355868001415,0.2862990080975205,0.04971651311126861,0.19346323962931247,0.07910459305252956,0.2862990080975205,0.04971651311126861,0.19346323962931247,0.07910459305252956,49.046674728393555
28,2025-08-02 07:24:36,4096,0.020913404531913635,10,1,25,16,16,0.01,0.01,0.005,0.01,0.0001,0.0001,0.0005,0.0005,logistic_regression,0.162186443302746,0.39204424115725256,0.7296308091381746,0.17073228534895882,0.3944582767581379,0.8151743440766321,0.4637934736886336,0.07395464209780299,0.33281268372212514,0.12101779738904112,0.4637934736886336,0.07395464209780299,0.33281268372212514,0.12101779738904112,54.47272777557373
29,2025-08-02 07:25:19,4096,0.09380573691433486,12,0.01,40,16,32,0.01,0.01,0.01,0.005,0.001,0.0001,0.005,0.001,logistic_regression,0.24999989368930992,0.49999989002331535,0.5062671348020397,0.24999874278916906,0.4999987406034042,0.6546559600875188,0.28799308977763505,0.05673281360737067,0.2317041819531681,0.09114801755060155,0.28799308977763505,0.05673281360737067,0.2317041819531681,0.09114801755060155,42.93631625175476
30,2025-08-02 07:26:05,4096,0.05341941067126842,8,50,25,16,16,0.01,0.01,0.005,0.01,0.0005,0.0001,0.001,0.0005,logistic_regression,0.24999991304020627,0.4999999130237774,0.5658939964762981,0.24999885882767015,0.49999885854013487,0.7203346900624334,0.3813500201142952,0.06633593196314672,0.317131026261342,0.10972096411581683,0.3813500201142952,0.06633593196314672,0.317131026261342,0.10972096411581683,46.6012978553772
