trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,dropout_rate,grad_clip_norm,abc_model_name,mse,mae,auc,train_mse,train_mae,train_auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
28,2025-08-03 16:25:34,4096,0.046783321139623385,8,0.1,50,32,32,0.005,0.01,0.01,0.01,0.001,5e-05,0.01,0.0001,0.1,1.0,logistic_regression,0.16606518212170043,0.4049640441846177,0.6080199118593824,0.20681754018649373,0.44537790423247353,0.7630989808150085,0.44431000009405497,0.06105598866052445,0.31761335013562475,0.10242285348986958,0.44431000009405497,0.06105598866052445,0.31761335013562475,0.10242285348986958,51.652843713760376
29,2025-08-03 16:26:42,4096,0.08778687245520239,12,0.01,50,32,64,0.01,0.005,0.01,0.01,0.0005,0.005,0.0005,0.005,0.4,1.0,logistic_regression,0.1456599432466935,0.3774721039322472,0.7815947960192436,0.1914487541518871,0.4241724983779532,0.8346472756356925,0.5441680753619278,0.0852586817859674,0.4313541716826684,0.14237620227068135,0.5441680753619278,0.0852586817859674,0.4313541716826684,0.14237620227068135,68.21088409423828
31,2025-08-03 16:29:05,4096,0.05237553381023064,2,0.1,10,32,32,0.005,0.01,0.01,0.01,5e-05,0.0001,0.0001,0.01,0.3,0.5,logistic_regression,0.04892026550612983,0.13816957700703894,0.8421788878040858,0.14008087669157587,0.26054298460146097,0.876780943101406,0.5898961993276257,0.10988660524450743,0.5229290515988042,0.1816102292745597,0.5898961993276257,0.10988660524450743,0.5229290515988042,0.1816102292745597,91.25641775131226
32,2025-08-03 16:30:39,4096,0.02663367413628053,6,5,10,32,32,0.005,0.01,0.01,0.01,5e-05,0.0001,0.0001,0.01,0.3,1.0,logistic_regression,0.04449452120454647,0.128975926072434,0.8445245273394522,0.15861616268186152,0.27478571972866855,0.8504893566617925,0.5950070501271834,0.11265060240963856,0.5361491203319362,0.18618232798119586,0.5950070501271834,0.11265060240963856,0.5361491203319362,0.18618232798119586,93.44300436973572
33,2025-08-03 16:32:13,4096,0.027200934676791192,6,5,50,64,32,0.005,0.01,0.01,0.01,5e-05,5e-05,0.001,0.01,0.3,1.0,logistic_regression,0.04901630294774604,0.1420763084626706,0.8405568844268746,0.14511257170300967,0.26913738491120304,0.8535124830981988,0.5926616758308023,0.11158752657689583,0.5270288494438924,0.18417894671149743,0.5926616758308023,0.11158752657689583,0.5270288494438924,0.18417894671149743,94.12090015411377
34,2025-08-03 16:33:49,4096,0.02684440328074019,6,5,50,64,16,0.005,0.01,0.01,0.01,0.0005,5e-05,0.001,0.01,0.3,1.0,logistic_regression,0.07356085433281903,0.24629821393445417,0.8307462737090354,0.16844208407293568,0.3511331022193429,0.8281718648216423,0.5867888309254663,0.10694542877391922,0.5132133434521968,0.17700570733192802,0.5867888309254663,0.10694542877391922,0.5132133434521968,0.17700570733192802,96.52702975273132
35,2025-08-03 16:35:46,4096,0.037561341319051214,6,5,50,32,32,0.01,0.005,0.01,0.01,0.0001,0.001,5e-05,0.0001,0.3,2.0,logistic_regression,0.04605860742971612,0.1389643996203422,0.8401590624031083,0.15722244239555438,0.27775571380005953,0.868706616012723,0.5924951914961945,0.1115520907158044,0.5267268334891714,0.18411223458465056,0.5924951914961945,0.1115520907158044,0.5267268334891714,0.18411223458465056,116.37550973892212
36,2025-08-03 16:37:22,4096,0.01494762477348271,8,5,50,64,64,0.005,0.01,0.01,0.01,5e-05,0.0001,1e-05,0.005,0.4,1.0,logistic_regression,0.04165065701532119,0.10771482792548925,0.8437501982280543,0.17470437111545228,0.2694032493516371,0.8667586981129827,0.5967389560651463,0.11318214032600991,0.5326659074590973,0.18669489732661282,0.5967389560651463,0.11318214032600991,0.5326659074590973,0.18669489732661282,96.58984565734863
38,2025-08-03 16:40:52,4096,0.011468308518916906,8,0.5,5,64,64,0.01,0.01,0.005,0.005,0.01,0.001,1e-05,0.005,0.4,0.5,logistic_regression,0.10729941759431254,0.31550413168868224,0.7300664160618047,0.19298900922401266,0.40159367020920855,0.7219968240502814,0.46801942019184417,0.07888022678951098,0.3991295921352519,0.13172713822846838,0.46801942019184417,0.07888022678951098,0.3991295921352519,0.13172713822846838,127.52940797805786
40,2025-08-03 16:44:27,4096,0.08040949229091664,8,5,25,64,64,0.005,0.01,0.01,0.01,0.005,1e-05,1e-05,0.005,0.4,0.5,logistic_regression,0.15061245386259134,0.3841356768916965,0.6977648092648422,0.20417907870969504,0.43774081710866114,0.712582602614678,0.4972627635637342,0.07693125442948265,0.38982736085577085,0.12850285736339803,0.4972627635637342,0.07693125442948265,0.38982736085577085,0.12850285736339803,126.21969151496887
