trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
28,2025-08-01 21:08:05,4096,3.2488152250685305,8,0.05,30,128,512,0.005,0.01,0.005,0.005,0.005,5e-05,1e-05,1e-06,mlp,0.2500004225703807,0.5000002083467677,0.4997671385621781,0.27784430597290033,0.050637845499645645,0.21434707546858445,0.08192220184619785,0.27784430597290033,0.050637845499645645,0.21434707546858445,0.08192220184619785,81.28565955162048
29,2025-08-01 21:08:56,4096,4.711167230756286,1,0.01,10,64,32,0.005,0.005,0.05,0.05,0.0005,5e-06,0.0005,5e-05,mlp,0.250002310087372,0.5000004316424108,0.5043842780176213,0.2975186782635882,0.056732813607370654,0.24868333736272882,0.09238873177495976,0.2975186782635882,0.056732813607370654,0.24868333736272882,0.09238873177495976,51.137972831726074
30,2025-08-01 21:09:40,4096,7.531030257534762,1,1,15,512,16,0.05,0.05,0.05,0.05,5e-05,0.0001,0.001,5e-06,logistic_regression,0.1543346402894091,0.3575225030327297,0.6668245134981783,0.45467941279964313,0.07133238837703756,0.31318162855743115,0.11619859134872121,0.45467941279964313,0.07133238837703756,0.31318162855743115,0.11619859134872121,44.45009112358093
31,2025-08-01 21:10:28,4096,7.200651650180198,1,1,15,512,16,0.05,0.05,0.05,0.05,5e-05,0.0001,0.001,5e-06,logistic_regression,0.15762950239024623,0.3604663953787555,0.660065509075537,0.45839555743078936,0.0705173635719348,0.3084207314746513,0.11478928689841157,0.45839555743078936,0.0705173635719348,0.3084207314746513,0.11478928689841157,47.196237325668335
32,2025-08-01 21:11:19,4096,7.504465547363655,1,1,15,512,16,0.05,0.05,0.05,0.05,5e-05,0.0001,0.001,5e-06,logistic_regression,0.1563501020280501,0.3608684064398207,0.6620336496086717,0.45091165558341095,0.06909992912827782,0.30146450241141426,0.11242943994795672,0.45091165558341095,0.06909992912827782,0.30146450241141426,0.11242943994795672,51.65715980529785
33,2025-08-01 21:12:04,4096,6.578906327225057,1,1,15,512,16,0.05,0.05,0.05,0.05,5e-05,0.0001,0.001,5e-06,logistic_regression,0.15649974752126813,0.36085705745193436,0.6618877374998194,0.4540401706499893,0.07055279943302623,0.30479516384434274,0.11458248967225894,0.4540401706499893,0.07055279943302623,0.30479516384434274,0.11458248967225894,44.47310543060303
34,2025-08-01 21:12:52,4096,8.668095482513138,1,1,15,512,16,0.05,0.05,0.05,0.05,5e-05,0.0001,0.001,5e-06,logistic_regression,0.1554991202932457,0.35858058038179474,0.6580459926315658,0.45613209233450464,0.07133238837703756,0.31420502322823485,0.1162688448501585,0.45613209233450464,0.07133238837703756,0.31420502322823485,0.1162688448501585,47.60837745666504
35,2025-08-01 21:13:48,4096,8.312260843072014,1,1,15,512,16,0.05,0.05,0.05,0.05,5e-05,0.0001,0.001,5e-06,logistic_regression,0.15322986240411735,0.35652949849068416,0.6638040413967574,0.44613738316901397,0.06810772501771793,0.3016041068617703,0.11112205671065255,0.44613738316901397,0.06810772501771793,0.3016041068617703,0.11112205671065255,56.36004829406738
36,2025-08-01 21:14:50,4096,6.574077885846676,1,1,15,512,16,0.05,0.05,0.05,0.05,5e-05,0.0001,0.001,5e-06,logistic_regression,0.15236893480584687,0.3547580885623966,0.6652224707568399,0.4565760948780042,0.07083628632175762,0.31170139042362166,0.1154384013976962,0.4565760948780042,0.07083628632175762,0.31170139042362166,0.1154384013976962,61.99424362182617
37,2025-08-01 21:15:49,4096,5.631489503155491,2,10,35,512,16,0.05,0.05,0.05,0.05,5e-05,0.0001,0.001,5e-06,logistic_regression,0.2206819868772063,0.46777540505320225,0.6341144740562469,0.4288248715105549,0.05659107016300496,0.28520699246441256,0.09444271741895184,0.4288248715105549,0.05659107016300496,0.28520699246441256,0.09444271741895184,58.70521283149719
