trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,ndcg_5,precision_5,recall_5,f1_5,ndcg,precision,recall,f1,training_time
38,2025-08-01 11:24:33,128,0.044392469749615464,6,5,10,32,32,0.01,0.01,0.005,0.01,1e-05,1e-06,0.001,0.005,mlp,0.3749793629887779,0.44349603623551764,0.5704391226774947,0.4928497943326886,0.23103448275862068,0.3413044809596534,0.27554686722509203,0.4928497943326886,0.23103448275862068,0.3413044809596534,0.27554686722509203,36.812092542648315
39,2025-08-01 11:25:05,128,0.03262970451590816,10,0.5,15,16,64,0.01,0.01,0.005,0.005,0.001,0.0001,5e-05,0.001,mlp,0.23874237526560488,0.4872979752847861,0.6178932878060784,0.5049029931832649,0.23103448275862068,0.3437280152797394,0.2763333533097066,0.5049029931832649,0.23103448275862068,0.3437280152797394,0.2763333533097066,31.955981016159058
40,2025-08-01 11:25:33,128,0.013304864747781392,1,0.01,5,64,32,0.01,0.005,0.01,0.01,0.005,0.001,0.0005,1e-05,logistic_regression,0.18215512685636173,0.41016011501598204,0.7190205487879906,0.5585537520172463,0.2524137931034483,0.3919150198460543,0.3070629614737056,0.5585537520172463,0.2524137931034483,0.3919150198460543,0.3070629614737056,28.598997354507446
41,2025-08-01 11:25:55,128,0.018685825226757935,1,0.01,5,64,32,0.01,0.005,0.01,0.01,0.005,1e-05,0.0005,1e-05,logistic_regression,0.18754152265144722,0.4178489141423127,0.7079118986095729,0.55362319621399,0.24896551724137927,0.38139710863848797,0.3012701722092385,0.55362319621399,0.24896551724137927,0.38139710863848797,0.3012701722092385,22.04276728630066
42,2025-08-01 11:26:19,128,0.01757655303728345,1,0.01,5,64,32,0.01,0.005,0.01,0.01,0.005,0.0005,0.0005,1e-05,logistic_regression,0.19841891493226718,0.432617964614825,0.6867691029900331,0.5530563487954423,0.24758620689655175,0.3778399474089129,0.2991494959044375,0.5530563487954423,0.24758620689655175,0.3778399474089129,0.2991494959044375,23.494417428970337
43,2025-08-01 11:26:47,128,0.012817062488534554,1,0.01,5,64,32,0.01,0.005,0.005,0.01,0.005,1e-05,0.0005,1e-05,logistic_regression,0.18253494394801312,0.4113904787436256,0.7241862003199212,0.5604261927691991,0.25310344827586206,0.3813486800555766,0.30426461385307985,0.5604261927691991,0.25310344827586206,0.3813486800555766,0.30426461385307985,28.257274866104126
44,2025-08-01 11:27:12,128,0.013029251733791406,1,0.01,5,64,32,0.01,0.005,0.005,0.01,0.005,1e-05,0.0005,1e-05,logistic_regression,0.18983930111778244,0.4215933409037775,0.7046179401993355,0.5477980386536336,0.24344827586206894,0.37596060070198,0.2955300238533168,0.5477980386536336,0.24344827586206894,0.37596060070198,0.2955300238533168,24.409316062927246
45,2025-08-01 11:27:35,128,0.016780155411322707,1,0.01,5,64,32,0.01,0.005,0.005,0.01,0.005,1e-05,0.0005,1e-05,logistic_regression,0.203226458750116,0.437536828602054,0.6677590131659898,0.5300578772822798,0.23862068965517239,0.3518706485085795,0.2843856002278755,0.5300578772822798,0.23862068965517239,0.3518706485085795,0.2843856002278755,23.330850839614868
46,2025-08-01 11:28:02,128,0.01949655595219693,1,0.01,5,64,32,0.01,0.005,0.005,0.01,0.005,1e-05,0.0005,1e-05,logistic_regression,0.19844363493571934,0.4318878721670601,0.6788456687584594,0.521391306686217,0.23310344827586205,0.34706909948289255,0.2788929058846172,0.521391306686217,0.23310344827586205,0.34706909948289255,0.2788929058846172,26.498109340667725
47,2025-08-01 11:28:28,128,0.01346822695382052,1,0.01,5,64,32,0.01,0.005,0.005,0.01,0.005,1e-05,0.0005,1e-05,logistic_regression,0.1921359590759526,0.4237572835148152,0.6930813953488372,0.5219972365436615,0.23379310344827586,0.3570842758773793,0.282575857431637,0.5219972365436615,0.23379310344827586,0.3570842758773793,0.282575857431637,25.956220626831055
48,2025-08-01 11:28:56,128,0.0417044331969242,1,0.01,5,64,32,0.01,0.005,0.005,0.01,0.005,1e-05,0.0005,1e-05,logistic_regression,0.18119849415488065,0.4105296969461929,0.7283665559246955,0.5588249284476466,0.24896551724137933,0.3774167881926503,0.3000204988959718,0.5588249284476466,0.24896551724137933,0.3774167881926503,0.3000204988959718,28.102969884872437
49,2025-08-01 11:29:26,128,0.04260322157526984,1,100,5,64,32,0.01,0.005,0.005,0.01,1e-05,5e-06,0.0005,0.005,logistic_regression,0.399024614409952,0.45948683668671525,0.5509370001230466,0.4445350467369735,0.20344827586206896,0.2873936599798669,0.23824266162711255,0.4445350467369735,0.20344827586206896,0.2873936599798669,0.23824266162711255,30.533122301101685
