trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,ndcg_5,precision_5,recall_5,f1_5,ndcg_10,precision_10,recall_10,f1_10,ndcg,precision,recall,f1,training_time
29,2025-07-27 00:06:27,256,0.0912836985683097,6,0.02051521607002216,15,16,8,0.005947157622287652,0.005419362902897702,0.005827092109317659,0.009478324713910979,3.1647035644275,0.003947924257151713,0.05566465740990622,8.296248962859654,logistic_regression,0.24999153067360644,0.4999911786667232,0.5053405072384756,0.4393534436286599,0.37655172413793103,0.2960934707055397,0.3315106024836779,0.5395922081146215,0.39413793103448275,0.6034187077290526,0.47682545886641375,0.4393534436286599,0.37655172413793103,0.2960934707055397,0.3315106024836779,13.081408023834229
30,2025-07-27 00:06:47,128,0.10113446016763865,4,0.03266381656898905,15,4,4,0.005520378067163775,0.006272388077240709,0.007482157949014922,0.007537692020016753,0.006789018453362875,0.06723433688324247,0.017339228063841975,1.8522523421169685,logistic_regression,0.2500009240510052,0.5000009181299087,0.5241408829076704,0.47516419658681663,0.42344827586206896,0.31774950624088555,0.36306228599868434,0.5633853721955623,0.4106896551724138,0.617984247553213,0.4934503283443507,0.47516419658681663,0.42344827586206896,0.31774950624088555,0.36306228599868434,19.62652039527893
31,2025-07-27 00:07:14,256,0.14804987541183656,4,0.014088787273393324,15,16,4,0.005015016650491931,0.00584755700033213,0.006664638784019232,0.008311252681167579,0.0002246207364613109,0.00032530851652789745,2.0191178046177036,3.154020992240977,logistic_regression,0.2286036399538566,0.471920577439897,0.7149615785839174,0.6321385857435989,0.5131034482758621,0.4229307043531181,0.4636736857855657,0.6871198373257763,0.44172413793103454,0.6777174262519089,0.5348455077071637,0.6321385857435989,0.5131034482758621,0.4229307043531181,0.4636736857855657,26.849292993545532
32,2025-07-27 00:07:42,256,0.1673169292399164,4,0.013775033782797149,15,16,4,0.005123152728289284,0.0050526542589197036,0.0065378448687067395,0.00846211365605709,1.696854334188437e-05,0.0019111446677352684,1.8658076301757305,3.0876297905080796,logistic_regression,0.2293834742287875,0.4553779205370653,0.6753155451108488,0.6091470416463933,0.506896551724138,0.41966802833182143,0.45917636181909843,0.6728062158357271,0.44620689655172413,0.6896546174132381,0.5418418403038173,0.6091470416463933,0.506896551724138,0.41966802833182143,0.45917636181909843,28.71240472793579
33,2025-07-27 00:08:20,256,0.14782446285320672,4,0.04543561469004036,10,16,4,0.005659263071161605,0.005893851601100152,0.0069436391074031234,0.00956180129625795,0.00010910273779135646,3.172849896636874e-05,0.00351732990177002,0.7355991599602314,logistic_regression,0.24869000990305393,0.4106765642202688,0.68622787298391,0.5842491856279786,0.486896551724138,0.41416181041181044,0.4475935540231119,0.6571413766281243,0.43965517241379315,0.6938857119891602,0.538261030612487,0.5842491856279786,0.486896551724138,0.41416181041181044,0.4475935540231119,37.930290937423706
34,2025-07-27 00:08:32,256,0.18196522817399924,4,0.02684995276776115,15,16,8,0.00536211427556615,0.005501634104039249,0.006465990120303167,0.007180266425887148,0.002769325145147636,0.00038086811173855485,3.852047164313963e-06,7.665022975425261,logistic_regression,0.25001347359127685,0.4999348340620255,0.5167660163986022,0.47548289999703197,0.4179310344827586,0.3195514877842464,0.3621793868406358,0.5631636434416031,0.40551724137931033,0.6161348230313747,0.48911621178494735,0.47548289999703197,0.4179310344827586,0.3195514877842464,0.3621793868406358,11.548263311386108
35,2025-07-27 00:09:04,256,0.1888439571606467,4,0.01898535261685681,15,16,4,0.005853365518197302,0.006734344007360031,0.005832389827277546,0.008735729356861493,8.638755189025006e-07,0.023975059876102985,0.04360038600303663,3.45747428627668,logistic_regression,0.2247778264398542,0.42194361315337275,0.7065270009333733,0.6207561768473431,0.513103448275862,0.4376609645144128,0.4723890525288746,0.6888333561256229,0.45482758620689645,0.7138310061585924,0.555628539612388,0.6207561768473431,0.513103448275862,0.4376609645144128,0.4723890525288746,32.19542860984802
36,2025-07-27 00:09:37,256,0.18947035680005234,2,0.018079940098710962,15,16,4,0.0060549557040692325,0.006589389832004318,0.005868836601966886,0.007606996742188456,4.425930779392777e-07,0.018690011764520346,0.0435002913915575,3.5575817883090584,logistic_regression,0.2724155985966812,0.434264047356545,0.6475708903545504,0.575458853144367,0.4924137931034483,0.3918784233008371,0.4364311644347722,0.6468937666384093,0.4413793103448275,0.6850457109939868,0.5368577539476733,0.575458853144367,0.4924137931034483,0.3918784233008371,0.4364311644347722,32.869330644607544
37,2025-07-27 00:10:06,256,0.05088641572521019,4,0.03226565165987246,5,4,4,0.006392834367448199,0.006755344133870844,0.005411994780539128,0.008663992867768894,2.854903108934085e-06,0.05452695649132181,1.5967535339962495,2.451826454257895,logistic_regression,0.2324770879328997,0.4565172112078189,0.6633804311766767,0.5960365289257056,0.4889655172413794,0.413232576810163,0.4479204334240722,0.6671433039522768,0.44,0.6942828818690887,0.5386389460784545,0.5960365289257056,0.4889655172413794,0.413232576810163,0.4479204334240722,29.017899751663208
38,2025-07-27 00:11:37,64,0.18846373027265095,2,0.020844901434405153,10,16,8,0.005904478356050817,0.007088825051384487,0.005981554063574929,0.008108470305336898,1.1892007297658528e-07,4.512631863463851e-06,0.4922584911497954,0.06112786196156783,logistic_regression,0.3522297212508214,0.4335080242645765,0.6087832200062019,0.5240919018850678,0.4482758620689655,0.350064758038896,0.3931293917341902,0.6156736241249648,0.4320689655172414,0.6708670544015372,0.5256167700755965,0.5240919018850678,0.4482758620689655,0.350064758038896,0.3931293917341902,90.33202481269836
