trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,train_mse,train_mae,train_auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
24,2025-08-03 14:06:23,4096,0.05808709333580532,6,0.1,50,32,0.005,0.01,0.01,0.005,5e-05,5e-05,0.0001,1e-05,logistic_regression,0.12387637427202332,0.3096412897464851,0.7319018119394591,0.08549338634488621,0.24925441667466255,0.9694693834118214,0.48315262289997984,0.08125442948263643,0.37553845051051465,0.1336017432911068,0.48315262289997984,0.08125442948263643,0.37553845051051465,0.1336017432911068,90.41702246665955
25,2025-08-03 14:07:24,4096,0.08972079882290956,8,5,50,64,0.005,0.01,0.01,0.005,0.0001,0.01,0.001,0.01,logistic_regression,0.19553663440875538,0.4380802688703232,0.6802351547505712,0.1941174071537878,0.43242944098600195,0.7924012565300608,0.4285458417972971,0.056236711552090715,0.2761040222872755,0.09344134304792417,0.4285458417972971,0.056236711552090715,0.2761040222872755,0.09344134304792417,60.22249746322632
26,2025-08-03 14:08:37,4096,0.08082550443786919,4,50,40,16,0.005,0.01,0.01,0.005,5e-05,0.001,5e-05,5e-05,logistic_regression,0.14071430180276961,0.3416979334929804,0.7105814392456907,0.1097792276288275,0.2895587597384776,0.9313314428695094,0.4777835840207177,0.08079376328844791,0.3635602969030692,0.13220720682243545,0.4777835840207177,0.08079376328844791,0.3635602969030692,0.13220720682243545,73.3574571609497
27,2025-08-03 14:09:54,4096,0.09307214946126968,1,0.5,50,32,0.01,0.005,0.005,0.01,1e-05,0.0001,0.0005,0.0005,mlp,0.18121013844085163,0.26154351744152105,0.6471890877834849,0.005831824205026351,0.03624735545872563,0.999737679190397,0.42649973729973517,0.07473423104181431,0.3459182668028544,0.12291350131183408,0.42649973729973517,0.07473423104181431,0.3459182668028544,0.12291350131183408,77.33979153633118
28,2025-08-03 14:11:00,4096,0.07220607763049292,12,50,40,32,0.005,0.01,0.01,0.005,0.0005,0.0005,1e-05,0.005,logistic_regression,0.2500051589156744,0.4999984238069724,0.4921571318105306,0.2498095011592144,0.49980112382432806,0.6800903883502603,0.2900487952468554,0.05340184266477675,0.23144849121999314,0.0867808420272375,0.2900487952468554,0.05340184266477675,0.23144849121999314,0.0867808420272375,65.38993000984192
29,2025-08-03 14:11:49,4096,0.010032939143015542,10,0.01,50,32,0.005,0.005,0.01,0.005,0.001,0.005,0.01,1e-05,mlp,0.2500952890024,0.4999867816979268,0.49594755264794643,0.24936571650318126,0.49924360428354575,0.6303458672496444,0.28668879014368154,0.05124025513819987,0.22698409671863304,0.08360679394563895,0.28668879014368154,0.05124025513819987,0.22698409671863304,0.08360679394563895,49.53635358810425
30,2025-08-03 14:12:36,4096,0.0955245998256551,1,0.5,50,32,0.005,0.01,0.01,0.005,0.005,0.0001,0.005,0.001,logistic_regression,0.2500116769258452,0.4999975199519763,0.49351565371015893,0.24972778270168844,0.49971017116370164,0.6689154930033084,0.29367201618613487,0.054252303330970954,0.2411906175493832,0.08857986175388817,0.29367201618613487,0.054252303330970954,0.2411906175493832,0.08857986175388817,46.07755208015442
31,2025-08-03 14:14:01,4096,0.08417217565931456,2,0.5,50,32,0.005,0.01,0.01,0.005,0.0001,1e-05,0.01,1e-05,logistic_regression,0.11209333355357101,0.2741852970823287,0.7358439376360169,0.06055153012690434,0.197328390060984,0.9867333600842991,0.493640401005516,0.08444365698086465,0.38918505040594953,0.1387762539981353,0.493640401005516,0.08444365698086465,0.38918505040594953,0.1387762539981353,85.18988513946533
32,2025-08-03 14:15:19,4096,0.07750590295994081,2,0.05,40,16,0.005,0.01,0.01,0.005,0.0001,1e-05,0.01,1e-05,logistic_regression,0.10955349813820918,0.2698183849140413,0.7502468829753495,0.09106074730697743,0.2380980203663092,0.9437997491445647,0.49303933993747523,0.08529411764705883,0.3918388580278866,0.14009322918015504,0.49303933993747523,0.08529411764705883,0.3918388580278866,0.14009322918015504,78.37647461891174
33,2025-08-03 14:16:25,4096,0.06044031203068028,2,0.05,50,16,0.01,0.005,0.005,0.01,0.0001,1e-05,0.01,0.001,mlp,0.1129024443396499,0.2669025624926483,0.7365569600756556,0.08182359416778394,0.2199675863596061,0.9552383071595286,0.48188689344673974,0.08380581148121899,0.38689188224032417,0.13776905465709782,0.48188689344673974,0.08380581148121899,0.38689188224032417,0.13776905465709782,65.85096716880798
